What did you think ?,How do you feel  ?,What should you do ?,Question 1,Question 2,Question 3,Result
"a loser, he doesnt know how to defend himself",angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
"a loser, he doesnt know how to defend himself",angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
"a loser, he doesnt know how to defend himself",angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
"a loser, he doesnt know how to defend himself",angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,Bully anyone whos different than me,Supportive
"a loser, he doesnt know how to defend himself",angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,Bully anyone whos different than me,Supportive
he is not feeling ok,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,Bully anyone whos different than me,Supportive
i dont wanna be in his place,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,Im proud of myself,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,i think i did good,i feel like a hero,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,Im proud of myself,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,bullying is a bad thing,i feel like a hero,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,Im proud of myself,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel that ive accomplished something,"do nothing, its not my business to begin with",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"From now on, help weak people against aggressors ",Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,Bully anyone whos different than me,Supportive
it s not my business,angry towards the aggressor,complain to the dean,weak people need help and protection from bullying,i feel like a hero,"do nothing, its not my business to begin with",Supportive
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Still having fun,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,act like nothing ever happened,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
"a loser, he doesnt know how to defend himself",angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,act like nothing ever happened,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
he is not feeling ok,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,act like nothing ever happened,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
i dont wanna be in his place,angry towards the aggressor,join the bully,i shouldnt have let this go this far,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,the victim is so weak,Nothing at all,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,ask for forgiveness for not being able to stop it,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",Still having fun,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,ask for forgiveness for not being able to stop it,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",i feel regret and shame,continue having fun and bullying mohamed and other people as well,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,act like nothing ever happened,AGRESSIVE
it s not my business,angry towards the aggressor,join the bully,"nothing, its not my problem",Nothing at all,ask for forgiveness for not being able to stop it,AGRESSIVE
